__index_level_0__,answers,context,document_id,question,title
2573,"{'answer_start': [443], 'text': ['존 칼로스']}","특히 1967년 5월 2일 캘리포니아 주 의사당이 휴이 뉴턴의 체포에 항의한 이후 정당에 대한 인식은 계속해서 번성했습니다. 1968년 2월 17일 오클랜드 공회당에서 휴이를 위한 대규모 집회가 열렸다. 이 사건 이후 회원 수가 늘었다. 새로운 회원들은 6주간의 훈련 프로그램과 마오쩌둥의 인용문에 나오는 주제가 포함된 정치 훈련 수업에 참석해야 했습니다. \n멤버들은 폭력에 맞서 총을 들고 스스로를 방어할 수 있는 힘을 얻었습니다. 많은 대학생들이 이 그룹에 합류했으며 일부 회원은 Black Panther의 사회 프로그램을 지원하는 데 관심이 있었고 다른 회원은 거리의 정신을 유지하기를 원했습니다. 많은 Black Panthers에게 그룹은 약간 더 갱 유형이었습니다. \n\n블랙 팬서당의 슬로건과 아이콘이 퍼졌습니다.  1968년 멕시코시티 올림픽때 메달 시상식에서 토미 스미스와 존 칼로스가 블랙 파워 슬로건을 보이자, 이 행위로 국제 올림픽 위원회는 이들을 추방시켰다. Jane Fonda와 같은 할리우드 유명인사는 좌익 프로그램과 관련이 있습니다. Jane Fonda는 1970년대 초 Huey Newton과 Black Panthers를 공개적으로 지지했습니다. Black Panthers는 좌익 혁명가와 정치 활동가를 널리 끌어들였습니다.",mrc-0-003923,국제 올림픽 위원회로부터 토미 스미스와 함께 쫓겨난 인물은?,흑표당
1589,"{'answer_start': [140], 'text': ['오딘']}","Siggeir는 북유럽 신화의 볼송 왕조에 등장하는 고탈란드의 왕 캐릭터입니다. \n\n《볼성 일족의 사가》에 따르면, Sigeir는 Bolsung 왕의 딸이자 Sigmund의 누이인 Signu와 결혼했습니다.  결혼식 연회 날 망토와 후드로 변장한 오딘이 나타나 브란스톡(Branstock) 나무에 검을 꽂았다. 그리고 오딘은 이 검을 뽑는 자가 검의 주인이 될 것이라고 말했다. Sigeir를 포함한 모든 사람들이 번갈아 가며 검을 뽑으려했지만 Sigmund만이 성공했습니다. Siggeir는 Sigmund에게 칼을 줄 수 있는지 세 번이나 요청했지만 Sigmund는 거절했습니다. Shigeir는 복수심을 품고 다음날 집으로 향했습니다. \n\nSiggeir는 Sigmund, Bolsung 왕 및 Sigmund의 9명의 형제를 3개월 후 신혼 부부를 보기 위해 Gotaland를 방문하도록 초대했습니다. Bolsung 일족이 도착하자 Git 전사들이 그들을 공격하여 Bolsung 왕을 죽이고 왕자들을 포로로 잡았습니다. \n\n시그누는 남편에게 형제들을 죽이지 말고 감옥에 넣어달라고 애원했습니다. Sigeir는 고문과 죽음의 의도로 Sigmund 형제의 요청을 수락했습니다. \n\nSigeir는 늑대 인간 어머니에게 매일 밤 지그문트 형제 한 명을 먹게 했고 결국 지그문트만 남았습니다. 시그누는 그의 하인에게 지그문트의 얼굴에 꿀을 바르게 했고, 그날 밤 늑대는 꿀 냄새를 맡고 지그문트의 얼굴을 핥았습니다. 그러다가 늑대의 혀가 지그문트의 입에 들어갔을 때 지그문트는 혀를 깨물어 잘라 늑대를 죽였다. 그리고 Sigmund는 Gotaland의 숲에 숨어 있었고 Signu는 그에게 필수품을주었습니다. \n\nSignu는 Sigeir 사이에 두 아들이 있었습니다. 맏이가 10살이 되었을 때, 시그누는 아이를 지그문트로 데려가 볼성 일족에 대한 복수를 하도록 훈련시키라고 말했습니다. 그러나 아이가 능력이 부족했을 때, 시그누는 지그문트에게 소용없으니 그를 죽이라고 말했다. 두 번째 아이도 죽었습니다. \n\n결국 시그누는 변장을 하고 형과 근친상간을 하여 신표틀리를 낳았다. Sigeir는 Sigmund와 Sinpyotli에 의해 살해됩니다.",mrc-0-002428,브란스톡 나무의 검을 뽑는 자가 검의 주인이 될 것이라 말한 인물은?,시게이르
2980,"{'answer_start': [94], 'text': ['20km']}","Hermann Hort는 만반의 준비를 갖추고 있었습니다. Horts는 12월 12일에 6기갑사단을 선봉에 두고 진격을 시작했습니다.  호트 장갑부대는 2일 동안 하루 20km의 속도로 진격했다. 소련군의 저항은 미미했지만 헛되이 보기 쉬운 지형을 잘 활용했다. 초원은 평평해 보이지만 실제로는 협곡이 거미줄처럼 펼쳐져 눈 아래 숨겨져 있습니다. 움푹 파인 곳에 숨어 기다리고 있던 소련 보병이 협곡에서 나타나 독일 전차를 공격했다. \n \n진격 이틀째, 호르트는 폭 20미터의 악사이 강에 도착했다. 여기에서 그들은 파울루스 군대에 보급품을 나르는 800대의 트럭을 기다렸습니다. 그 후 탱크는 Mishikova 강을 향해 전진했습니다. 이것이 바울의 진영으로 가는 길에 극복해야 할 마지막 자연적인 장애물이었습니다. \n6기갑사단의 선두부대는 미시코바강에서 왼쪽으로 24km 떨어진 지점에서 소련 증원군과 만나 소련 전차 300대와 싸웠다. 여기에서 독일군은 뛰어난 포병 기술을 보여 32대의 소련 T-34 탱크를 파괴했습니다. 그러나 독일군이 미시코바 강에 접근함에 따라 소련군 탱크와 보병의 움직임이 더욱 활발해졌습니다. 한편, 독일의 선두 기갑부대는 피로와 탄약 부족으로 진격을 중단했다. 그러다가 몇 분 후 기갑부대의 Hunersdolph 대령이 전차를 타고 달려오더니 ""이게 자네를 향한 공격이냐? 오늘은 부끄럽다. ""라며 부하들을 꾸짖고 격려했다. \n\n6기갑사단은 다시 힘차게 진격하여 우회하여 미시코바 강으로 향했다. 12월 19일, 제6기갑사단은 강에 도착했고 다음 날 헤르만 호르트는 에리히 폰 만슈타인에게 제6군을 향한 마지막 돌격을 시작할 준비가 되었다고 보고했다. 남은 일은 파울루스가 겨울 폭풍 작전(소련 포위망 돌파)에서 자신의 역할을 수행하는 것뿐이었습니다. 문제는 바로 여기에 있었다.",mrc-0-004564,12월 12일에 호트군의 선봉이었던 사단의 하루 이동 거리는?,겨울 폭풍 작전
2990,"{'answer_start': [52], 'text': ['프리츠']}","시조 위미르가 한 불가사의의 신비목 안쪽에 있는 물웅덩이에서 강력한 태초의 거인의 힘을 얻고 프리츠를 따라 엘디아 제국을 건설한 후 죽었을 때 그의 육신은 프리츠의 포악한 조치오 세 딸들 마리아, 로제, 시나에게 먹혀진다. 세 딸에 의한 세 거인의 분리를 시작으로 아후의 자손들에게 전해져 아홉 종류의 거인으로 나뉜다. 그리고 그때부터 ""아홉 거인의 후계자는 조상 이미르를 능가할 수 없다. ""는 규칙이 정해지며 어떤 저주가 된다. 이미르 족의 유전자를 가진 이미르 족의 인간이 비무장 거인으로 변해 이미르의 본래 거인 중 하나인 아홉 거인을 먹고 인간으로 돌아간다면 거인이 되는 힘을 얻게 되지만, 그것과 관련된 위험에, 그들은 13년 이상 살 수 있습니다. 당신에게는 한계가 없는 삶이 주어졌습니다. 이야기 속 인물들은 이 현상을 창시자 이미르가 죽기 직전 후계자들에게 내려진 저주로 보고 '유미르의 저주'라고 부른다. 그리고 아홉 거인의 후계자가 된 시점부터 13년 후 사망할 때까지의 기간을 '재임기간'이라고 합니다. \n\n'시조 이미르의 피'를 계승한 이미르의 사람들(원래 거인의 초대 후계자, 마리아 프리츠, 로즈 프리츠, 시나 프리츠와 그 후손들)이 아홉 거인을 먹으면, 좌표의 세계는 그대로 쪼개지고 새로운 후계자가 탄생한다. 그러나 어째서인지 아홉 거인을 한 번 상속하면 수명은 고작 13년에 불과하다. 거인의 힘을 전문으로 하는 공식 연구단체인 거대화학협회조차 원인을 규명하지 못하고 있으며, 대중은 창시자 이미르가 거인에 대한 원망과 분노로 후손들에게 남긴 저주로 보고 있다. 프리츠. 설립자 이미르 자신이 주도했는지는 확실하지 않습니다.",mrc-0-004578,위미르와 함께 엘디아 제국을 세운 사람은?,위미르의 저주
1058,"{'answer_start': [238], 'text': ['전차 기동력 감소']}","탱크는 기본적으로 자체 갑옷을 사용하여 자신을 방어합니다. 제2차 세계대전 이후 탱크의 장갑 두께는 계속 증가했고, 초범죄 장갑, 반응장갑, 우주장갑 등 탱크 자체와 탱크 본체 외벽에 탈착식으로 장착할 수 있는 장갑이 개발하여 실무에 적용하고 있습니다. 그러나 21세기에 들어 이러한 장갑은 한계를 드러냈습니다.  장갑 두께가 계속 무거워지는 반면에 대전차미사일 체계의 관통력은 장갑을 상회하기에 이르렀고 무게의 증가로 인한 전차 기동력 감소 또한 심각한 수준이 되었다. 미국 M-1 에이브람스 전차의 경우 거의 70톤에 가까운 무게를 자랑한다. 이러한 중량 증가는 순항 거리 감소 및 전투 중 기동성 감소와 같은 여러 문제를 야기했습니다. 특히, 시가전과 같이 좁고 장애물이 많은 지역에서 탱크는 대전차 미사일을 장착한 적 탱크와 보병의 매복에 취약합니다. \n\n가장 크고 심각한 위험은 러-체첸 전쟁 당시 체첸 공화국의 수도 그로즈니에서 벌어진 시가전이었습니다. 이 전투에서 러시아군은 자체 대전차 로켓인 RPG-7로 무장한 체첸 반군에게 매복을 당했고 탱크 여단 1개 여단이 전멸했다. 이에 자극을 받아 러시아가 먼저 능동방어체계를 개발하고 투기장 능동방어체계를 개발했고, 1980년대 이후 대부분의 전투를 치러온 이스라엘도 이에 자극을 받아 트로피 능동방어체계를 개발했다. \n\n또한 냉전 종식 후 대평원에서의 탱크전 가능성은 사라졌지만, 지역 분쟁에서 평화 유지 작전에 참여할 가능성이 높은 다른 유럽 국가들도 이 시스템을 개발하기 시작했습니다. 탱크 생존성을 향상시킵니다. 이라크에 주둔한 미군은 러시아가 체첸에서 비슷한 상황을 겪고 있어 이 시스템에 주목하고 있으며, 한국의 차기 탱크인 XK-2 프로젝트에 채용될 수 있도록 연구개발 중이다.",mrc-0-001622,장갑 두께가 두꺼워질수록 무게 증가로 오는 문제는?,능동방어시스템
943,"{'answer_start': [131], 'text': ['잡귀']}","석장승은 국보 제305호 세병관으로 올라가는 길 오른쪽에 있다. 장승이라는 이름은 지역에 따라 다르게 전해지고 있는데 여기서는 '북수'라고 부른다.  장승은 민간신앙의 한 형태로 마을이나 사찰 입구 등에 세워져 경계를 나타내기도 하고 잡귀 출입을 막는 수호신 역할도 한다. 남녀가 짝을 지어 서 있는 것이 일반적이지만 이 장승만이 서 있다. 이 일대의 위치는 사방이 산으로 둘러싸인 낮은 지역으로, 마을의 정력을 강화하고 평화를 기원하기 위한 의도로 지어졌다. \n\n이마에 주름이 깊고, 동그란 눈이 돌출되어 있고, 코가 삼각형이고 뭉툭하다. 머리에는 붕거를 하고 턱 아래에는 굵은 수염 세 개를 드러냈다. 웃는 입에서 긴 송곳니가 튀어나와 있어 암담한 모습보다 유머러스하다. 백수의 앞면에는 '土地大將'라는 글자가 새겨져 있다. 뒷면에는 '광무 텐년병 오팔문일동낙동입'이라는 글자가 새겨져 있어 이 북수가 고종 10년(1906)에 창건되었음을 알 수 있다. \n\n이 장승은 비록 거칠어 보여도 친근하고 유머러스하며 민담의 독특한 조형미를 보여주며 희귀한 유일승이라는 점에서 그 가치가 높다.",mrc-1-001447,장승은 무엇이 들어오는 것을 막나?,통영 문화동 벅수
2569,"{'answer_start': [263], 'text': ['인도-유럽어권']}","기원전 10세기경 이탈리아 반도 중부에 정착한 다양한 부족들은 약 2~300년 동안 서로 교류하거나 전쟁을 하고 융합과 망명을 반복했다. 고대 로마 문명의 초기 역사는 이 시기부터 시작됩니다. \n\n8세기경에 Latium은 Latium에 거주하고 정착했습니다. 이 땅은 티베리스 강 남쪽 이탈리아 중부의 서해안에 위치하고 있으며 물이 풍부하고 비옥한 평야였습니다.  이들은 후기 청동기 시대와 초기 철기 시대에 인도-유럽어 족이 이탈리아 전역에 흩어질 때 형성된 일개 인도-유럽어권 집단이었다. 그들은 농사를 짓고 목축을 하고 조잡한 손으로 짠 옷을 입고 손으로 만든 조잡한 토기를 입고 생계를 꾸렸을 것입니다. 그들의 집은 화로와 대문이 있는 둥근 나무 오두막집이었습니다. 몇몇 보석과 청동이나 철 도구를 제외하고는 해외에서 수입된 적이 거의 없는 것 같습니다. \n\n고대 로마 역사가들은 기원전 753년에 로물루스가 로마를 건설했다고 기록합니다. 그러나 로마에 기원을 둔 전설의 대부분은 비역사적 허구이므로 지리학적 또는 고고학적 증거를 통해 검증할 필요가 있다. 기원전 750년경에는 팔라티노 언덕을 포함하여 로마의 여러 ​​언덕에 시골 마을이 세워졌으며, 각 언덕에는 고유한 방언과 관습이 있었던 것으로 보입니다. \n\n이탈리아 사람들의 대다수는 비교적 미개한 사람들이었고 복잡한 문명의 발전에 지대한 영향을 미친 두 집단이 있습니다. 하나는 라티움에서 티베르를 건너 에트루리아에 정착한 에트루리아인들이었고, 다른 하나는 기원전 8세기 중반 이탈리아 남부와 시칠리아(Magna Graecia)에 정착한 그리스인들이었다. 그들은 나중에 이탈리아를 통합할 도시인 로마의 발전에 특히 중요한 사람들이었습니다.",mrc-0-003913,라티움인이 사용하는 언어의 종류는?,고대 로마
1362,"{'answer_start': [372], 'text': ['유성생식']}","새로운 세대의 자손은 부모로부터 유전적 특성을 물려받습니다. 유전적 특성에는 홍채, 피부, 모발의 색과 같은 것, 혈액형과 같은 특성, 혈우병과 같은 유전 질환이 포함됩니다. \n\n생물의 유전 정보를 담고 있는 것은 DNA입니다. 원핵 생물은 별도의 세포 핵이 없으므로 DNA는 세포질에 부유하는 반면 진핵 생물은 세포 핵 내의 염색체에 DNA가 있습니다. 바이러스의 경우 때때로 RNA가 DNA를 대신합니다. \n\n세포 분열 과정에서 생물은 DNA를 복제하고 유전 정보를 자손에게 전달합니다. 유기체가 다음 세대로 번식하는 번식에는 성별을 가리지 않는 무성생식과 수컷과 암컷이 구별되는 유성생식이 있다.  무성생식은 체세포의 분열을 통해 유전형질이 전달되며, 유성생식은 암·수 각자의 감수분열에 의해 만들어지는 정자와 난자가 수정되어 새로운 개체로 발생한다. 결국 유전은 번식을 통해 유전적 특성을 전달하는 것입니다. \n\nDNA 복제 과정에서 희귀 돌연변이가 발생하여 자손이 부모의 유전자와 다른 유전자를 갖게 됩니다. 돌연변이는 대립 유전자의 발달과 진화를 담당합니다.",mrc-0-002072,암·수의 유전자를 반반씩 받아 새로운 생명을 만드는 생식은?,유전
381,"{'answer_start': [37], 'text': ['캐시디']}","졸업을 앞둔 18세 고등학생 서터 킬리는 사소한 이유로 여자친구인 캐시디와 헤어진다. 이 때문에 Sutter는 대학 지원에 집중하지 못하고 클럽과 음주에 탐닉합니다. 어느 날 술에 취해 잠이 든 서터는 같은 학교 여학생인 에이미의 집 앞에서 눈을 뜬다. 그녀는 미혼모의 엄격한 통제 아래 매일 아침 신문 배달을 하며 공부하는 아이였습니다. 평소 조용한 생활에 관심이 없었던 서터는 차를 타고 집으로 돌아오면서 가까워진다. \n\n다음 날 학교에서 기하 시험에 떨어질 위기에 처한 서터는 에이미를 만나 과외를 요청한다. Sutter는 Amy를 점점 더 알게 됩니다. Amy는 똑똑하고 공상 과학 만화에 관심이 있으며 술, 파티 또는 데이트와 관계를 맺은 적이 없습니다. Sutter는 Amy를 파티에 데려가 술을 마시라고 말합니다. Sutter는 그녀에게 미혼모 때문에 대학을 갈 생각이 없다고 말하며 그녀의 자신감을 격려하면서 그녀에게 키스를 한다. \n\nSutter는 여전히 전 여자친구 Cassidy에게 집착했고 Amy와 깊게 발전할 생각은 없었습니다. 캐시디도 서터와 헤어지지는 않았지만 미래를 걱정하지 않고 평온한 삶을 사는 데 지쳤다. 에이미의 친구 크리스탈이 에이미를 해치지 말라고 말하자, 서터는 에이미와의 관계에 대해 생각합니다. 저녁 식사를 위해 Sutter의 여동생의 가족과 합류한 Amy는 미래에 대한 희망과 결혼에 대한 낙관적인 꿈에 대해 이야기합니다. 그녀의 처남이 그것을 비웃자, Sutter는 Amy의 꿈을 지원합니다. 두 사람은 곧 함께 섹스를 하고 에이미는 서터로부터 휴대용 와인 병을 받습니다. Amy는 Sutter를 진지하게 받아들이기 시작하고 졸업 후 필라델피아에서 독립적으로 살기를 제안합니다. 그러나 아직 방법을 찾지 못한 서터는 흔쾌히 그 제안을 받아들이지 않는다. \n\n서터는 어렸을 때 이혼한 아버지를 만나고 싶었지만 어머니와 누나는 어째서인지 조용했고 그가 떠난 이유와 사는 곳도 말하지 않았다. Sutter는 여동생이 아버지에게 연락하도록 설득하는 데 성공합니다. Sutter는 Amy를 아버지의 집으로 데려갑니다. 그러나 그의 아버지는 Sutter를 별로 좋아하지 않았고, 그는 새 여자와 살고 있었고 충분한 돈을 벌지 못했습니다. Sutter는 야구장에 가는 것을 잊고 술집에서 술을 마시는 아버지를 보고 돌아선다. 돌아오는 길에 에이미는 어두운 표정의 서터를 위로하기 위해 사랑을 고백하지만, 서터는 그녀가 자신에게 해가 된다고 강력하게 부인한다. 그런 다음 Sutter는 음주 운전의 여파로 탈선합니다. 에이미는 수치심에 차에서 에이미를 내쫓지만, 그 순간 반대편에서 달려오는 차에 치인다. \n\n다행히도 Amy는 크게 다치지 않았으며 그를 비난하지도 않았습니다. 일련의 사건의 충격은 결국 Sutter를 실패하게 만듭니다. 졸업식 날, 서터는 에이미와 함께 술을 마시기를 거부한다. 캐시디는 서터에게 다가가 꿈을 그만두고 남자친구와 함께 캘리포니아로 가기로 결정했다고 말합니다. Sutter가 아르바이트를 하고 있던 재단사의 머리는 Sutter가 술을 마시지 않는다는 조건으로 정규직으로 고용될 것이라고 알립니다. 그렇지 않으면 그는 해고될 것입니다. Sutter는 금주 대신 해고를 수락합니다. 에이미와 에이미가 필라델피아로 떠나기로 결정한 날, 서터는 에이미를 만나러 가지 않고, 에이미는 혼자 필라델피아로 가는 버스를 타기 전에 서터의 전화가 끝날 때까지 기다립니다. \n\n서터는 자신의 실패한 삶을 어머니에게 한탄하고, 어머니는 그녀가 늘 돕는 아이였다고 위로하며 그녀를 위로한다. 서터는 대학 지원서의 빈칸에 자신의 삶의 고난은 자신이며 현재에 안주하는 태도는 잘못된 것이라고 적는다. 얼마 후 서터는 필라델피아로 차를 몰고 그곳에서 대학 캠퍼스를 떠나는 에이미를 만난다. Amy는 Sutter를 보고 즉시 미소를 지었습니다.",mrc-0-000562,서터 킬리가 클럽과 음주에 빠지게 된 계기를 제공한 인물은?,스펙타큘라 나우
353,"{'answer_start': [132], 'text': ['도서해안굿']}","농악은 농부들이 두레를 짜면서 연주하는 음악으로 꽹과리, 징, 장구, 북 등의 타악기를 연주하여 연주하는 음악을 말한다. \n\n전라남도의 농악은 구성, 의복, 음악성에 따라 좌도굿, 우도굿, 서도해안굿으로 크게 나눌 수 있다.  이중 도서해안굿은 남해와 서남해 일대인 고흥군 금산면과 완도, 진도 일대에서 행하여지는 농악으로 길굿이 육지의 것과 다르고 당제를 중심으로 신과 친근성을 지니는 등 좌도·우도 어느 지역권에도 속하지 않는 독자성을 지니고 있다. \n\n고흥 월포농악은 섬 해안굿의 일종으로 임진왜란(1592) 때 군의 사기를 북돋우기 위해 농악을 연주하면서 시작되었다고 전해지지만 확실하지 않다. 농악은 덕석기·농기·농기·영기·쇠·농부·공·장구·북·북구·소고·대포수·양반으로 구성돼 있다. \n\n문굿은 완벽하게 보존되어 있으며, 당나라에 대한 강한 종교적 유대가 특징이며, 다른 지역에서는 볼 수 없는 '농부'라는 소년의 역할이 돋보인다. 현재 고흥월포농악은 최병태에게 연예인으로 인정받고 있다.",mrc-1-000543,전라남도의 농악 중 육지의 것들과는 다른 독자성을 지니고 있는 것은?,고흥월포농악
